schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
public,bolocamv21,BOLOCAM Galactic Plane Survey Catalog v2.1,ORACLE,y,109
public,deepglimpsea,"Deep GLIMPSE Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,110
public,deepglimpsec,Deep GLIMPSE Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,111
public,dunes,DUNES Catalog,ORACLE,y,112
public,dustingsfull,DUSTiNGS Full Catalog,ORACLE,y,113
public,dustingsgsc,DUSTiNGS Good Source Catalog,ORACLE,y,114
public,feps_phot,FEPS Photometry Catalog,ORACLE,y,115
public,fls_release_v2_mmt_spectra,FLS MMT/Hectospec Spectroscopic Catalog (V2),ORACLE,y,116
public,fls_release_v2_photom,FLS SDSS and MIPS Astrometric and Photometric Catalog (V2),ORACLE,y,117
public,fls_release_v2_sdss_spectra,FLS SDSS Spectroscopic Catalog (V2),ORACLE,y,118
public,galcen_psc,Point Source in a Spitzer/IRAC Survey of the Galactic Center (Ramirez et al. 2008),ORACLE,y,119
public,glimpse2_v2arc,"GLIMPSE II Spring '08 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,120
public,glimpse2_v2cat,GLIMPSE II Spring '08 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,121
public,glimpse2ep1a08,"GLIMPSE II Epoch 1 December '08 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,122
public,glimpse2ep1c08,GLIMPSE II Epoch 1 December '08 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,123
public,glimpse2ep2a09,"GLIMPSE II Epoch 2 November '09 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,124
public,glimpse2ep2mra09,GLIMPSE II Epoch 2 November '09 More Reliable Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more reliable</a>),ORACLE,y,125
public,glimpse2sub,GLIMPSEII Subarray Source List,ORACLE,y,126
public,glimpse360a,"GLIMPSE360 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,127
public,glimpse360c,GLIMPSE360 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,128
public,glimpse3d_v1cat_tbl,"GLIMPSE 3D, 2007-2009 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>)",ORACLE,y,129
